Statistics results for Sun Apr 19 12:39:33 CEST 2020
Dataset: E:\metabolome_limma_analysis 5.pgex
Pathway directory: E:\Internship + Thesis\PathVisio Tutorial\WikiPathways human pathways collection
Gene database: E:\Internship + Thesis\PathVisio Tutorial\Hs_Derby_Ensembl_91.bridge, C:\Users\sabde\OneDrive\Documents\UM documents\BMS Year 3\Internship + Thesis\Sabrina_BMS_Bachelor-Internship\Identifier Mapping Databases\Metabolite database\metabolites_20191025.bridge
Criterion: ( [logFC]  < -1 OR  [logFC]  > 1) AND  [P.Value]  < 0.05 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 145
Data points meeting criterion (R): 16

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
MAPK Signaling Pathway	0	0	258	NaN%	NaN	0.000
Matrix Metalloproteinases	0	0	31	NaN%	NaN	0.000
mBDNF and proBDNF regulation of GABA neurotransmission	0	0	40	NaN%	NaN	0.000
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	0	0	47	NaN%	NaN	0.000
MECP2 and Associated Rett Syndrome	0	0	112	NaN%	NaN	0.000
MED and Pseudoachondroplasia genes	0	0	7	NaN%	NaN	0.000
Melanoma	0	0	78	NaN%	NaN	0.000
Melatonin metabolism and effects	0	0	64	NaN%	NaN	0.000
Mesodermal Commitment Pathway	0	0	154	NaN%	NaN	0.000
Metabolic pathway of LDL, HDL and TG, including diseases	0	0	34	NaN%	NaN	0.000
Metabolism of Dichloroethylene by CYP450	0	0	13	NaN%	NaN	0.000
Metabolism of Tetrahydrocannabinol (THC)	0	0	11	NaN%	NaN	0.000
Metapathway biotransformation Phase I and II	0	0	191	NaN%	NaN	0.000
Metastatic brain tumor	0	0	28	NaN%	NaN	0.000
Methionine De Novo and Salvage Pathway	0	0	74	NaN%	NaN	0.000
Methylation Pathways	0	0	15	NaN%	NaN	0.000
Mevalonate arm of cholesterol biosynthesis pathway with inhibitors	0	0	64	NaN%	NaN	0.000
Mevalonate arm of cholesterol biosynthesis pathway	0	0	29	NaN%	NaN	0.000
MFAP5-mediated ovarian cancer cell motility and invasiveness	0	0	18	NaN%	NaN	0.000
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	0	0	20	NaN%	NaN	0.000
Microglia Pathogen Phagocytosis Pathway	0	0	44	NaN%	NaN	0.000
MicroRNAs in cardiomyocyte hypertrophy	0	0	109	NaN%	NaN	0.000
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma	0	0	10	NaN%	NaN	0.000
MicroRNA network associated with chronic lymphocytic leukemia	0	0	10	NaN%	NaN	0.000
mir-124 predicted interactions with cell cycle and differentiation 	0	0	8	NaN%	NaN	0.000
miR-222 in Exercise-Induced Cardiac Growth	0	0	5	NaN%	NaN	0.000
miR-509-3p alteration of YAP1/ECM axis	0	0	19	NaN%	NaN	0.000
miR-517 relationship with ARCN1 and USP1	0	0	7	NaN%	NaN	0.000
miRNAs involved in DNA damage response	0	0	70	NaN%	NaN	0.000
miRNAs involvement in the immune response in sepsis	0	0	69	NaN%	NaN	0.000
miRNA Biogenesis	0	0	7	NaN%	NaN	0.000
miRNA regulation of p53 pathway in prostate cancer	0	0	37	NaN%	NaN	0.000
miRNA targets in ECM and membrane receptors	0	0	46	NaN%	NaN	0.000
Mitochondrial complex I assembly model OXPHOS system	0	0	61	NaN%	NaN	0.000
Mitochondrial Gene Expression	0	0	23	NaN%	NaN	0.000
Mitochondrial LC-Fatty Acid Beta-Oxidation	0	0	24	NaN%	NaN	0.000
Model for regulation of MSMP expression in cancer cells and its proangiogenic role in ovarian tumors	0	0	6	NaN%	NaN	0.000
mRNA Processing	0	0	130	NaN%	NaN	0.000
Myometrial Relaxation and Contraction Pathways	0	0	161	NaN%	NaN	0.000
NAD+ biosynthetic pathways	0	0	37	NaN%	NaN	0.000
NAD Biosynthesis II (from tryptophan)	0	0	34	NaN%	NaN	0.000
NAD metabolism, sirtuins and aging	0	0	16	NaN%	NaN	0.000
Nanomaterial-induced Inflammasome Activation	0	0	13	NaN%	NaN	0.000
Nanomaterial induced apoptosis	0	0	30	NaN%	NaN	0.000
Nanoparticle-mediated activation of receptor signaling	0	0	36	NaN%	NaN	0.000
Nanoparticle triggered autophagic cell death	0	0	30	NaN%	NaN	0.000
Nanoparticle triggered regulated necrosis	0	0	25	NaN%	NaN	0.000
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma	0	0	19	NaN%	NaN	0.000
ncRNAs involved in Wnt signaling in hepatocellular carcinoma	0	0	96	NaN%	NaN	0.000
Neovascularisation processes	0	0	42	NaN%	NaN	0.000
Nephrotic syndrome	0	0	49	NaN%	NaN	0.000
Netrin-UNC5B signaling Pathway	0	0	53	NaN%	NaN	0.000
Neural Crest Cell Migration during Development	0	0	40	NaN%	NaN	0.000
Neural Crest Cell Migration in Cancer	0	0	43	NaN%	NaN	0.000
Neural Crest Differentiation	0	0	102	NaN%	NaN	0.000
Nicotine Activity on Chromaffin Cells	0	0	10	NaN%	NaN	0.000
Nicotine Activity on Dopaminergic Neurons	0	0	31	NaN%	NaN	0.000
Nicotine Metabolism	0	0	18	NaN%	NaN	0.000
NLR Proteins	0	0	11	NaN%	NaN	0.000
Non-genomic actions of 1,25 dihydroxyvitamin D3	0	0	97	NaN%	NaN	0.000
Non-homologous end joining	0	0	11	NaN%	NaN	0.000
Non-small cell lung cancer	0	0	88	NaN%	NaN	0.000
Nonalcoholic fatty liver disease	0	0	170	NaN%	NaN	0.000
NOTCH1 regulation of human endothelial cell calcification	0	0	18	NaN%	NaN	0.000
Notch Signaling Pathway Netpath	0	0	62	NaN%	NaN	0.000
Notch Signaling	0	0	48	NaN%	NaN	0.000
Novel intracellular components of RIG-I-like receptor (RLR) pathway	0	0	64	NaN%	NaN	0.000
NRF2-ARE regulation	0	0	24	NaN%	NaN	0.000
NRF2 pathway	0	0	145	NaN%	NaN	0.000
Nuclear Receptors in Lipid Metabolism and Toxicity	0	0	48	NaN%	NaN	0.000
Nuclear Receptors Meta-Pathway	0	0	339	NaN%	NaN	0.000
Nuclear Receptors	0	0	44	NaN%	NaN	0.000
Nucleotide-binding Oligomerization Domain (NOD) pathway	0	0	43	NaN%	NaN	0.000
Nucleotide Excision Repair	0	0	44	NaN%	NaN	0.000
Nucleotide GPCRs	0	0	15	NaN%	NaN	0.000
Oncostatin M Signaling Pathway	0	0	66	NaN%	NaN	0.000
Osteoblast differentiation	0	0	119	NaN%	NaN	0.000
Osteoblast Signaling	0	0	18	NaN%	NaN	0.000
Osteoclast Signaling	0	0	21	NaN%	NaN	0.000
Osteopontin Signaling	0	0	14	NaN%	NaN	0.000
Ovarian Infertility Genes	0	0	33	NaN%	NaN	0.000
Overview of interferons-mediated signaling pathway	0	0	38	NaN%	NaN	0.000
Overview of leukocyte-intrinsic Hippo pathway functions	0	0	37	NaN%	NaN	0.000
Overview of nanoparticle effects	0	0	41	NaN%	NaN	0.000
Oxidation by Cytochrome P450	0	0	75	NaN%	NaN	0.000
Oxidative Damage	0	0	44	NaN%	NaN	0.000
Oxidative phosphorylation	0	0	68	NaN%	NaN	0.000
Oxidative Stress	0	0	35	NaN%	NaN	0.000
Oxysterols derived from cholesterol	0	0	37	NaN%	NaN	0.000
Oxytocin signaling	0	0	10	NaN%	NaN	0.000
p38 MAPK Signaling Pathway	0	0	36	NaN%	NaN	0.000
Pancreatic adenocarcinoma pathway	0	0	97	NaN%	NaN	0.000
Parkin-Ubiquitin Proteasomal System pathway	0	0	75	NaN%	NaN	0.000
Pathogenic Escherichia coli infection	0	0	79	NaN%	NaN	0.000
Pathways Affected in Adenoid Cystic Carcinoma	0	0	72	NaN%	NaN	0.000
Pathways in clear cell renal cell carcinoma	0	0	92	NaN%	NaN	0.000
Pathways of nucleic acid metabolism and innate immune sensing	0	0	39	NaN%	NaN	0.000
Pathways Regulating Hippo Signaling	0	0	104	NaN%	NaN	0.000
PDGF Pathway	0	0	53	NaN%	NaN	0.000
Pentose Phosphate Metabolism	0	0	21	NaN%	NaN	0.000
Peptide GPCRs	0	0	79	NaN%	NaN	0.000
Peroxisomal beta-oxidation of tetracosanoyl-CoA	0	0	17	NaN%	NaN	0.000
Phase I biotransformations, non P450	0	0	13	NaN%	NaN	0.000
Photodynamic therapy-induced HIF-1 survival signaling	0	0	38	NaN%	NaN	0.000
Photodynamic therapy-induced NF-kB survival signaling	0	0	36	NaN%	NaN	0.000
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	0	0	24	NaN%	NaN	0.000
Photodynamic therapy-induced unfolded protein response	0	0	28	NaN%	NaN	0.000
Physiological and Pathological Hypertrophy  of the Heart	0	0	27	NaN%	NaN	0.000
Phytochemical activity on NRF2 transcriptional activation	0	0	20	NaN%	NaN	0.000
PI3K/AKT/mTOR - VitD3 Signalling	0	0	34	NaN%	NaN	0.000
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	0	0	33	NaN%	NaN	0.000
PI3K-Akt Signaling Pathway	0	0	359	NaN%	NaN	0.000
PKC-gamma calcium signaling pathway in ataxia	0	0	29	NaN%	NaN	0.000
Polyol Pathway	0	0	17	NaN%	NaN	0.000
PPAR Alpha Pathway	0	0	28	NaN%	NaN	0.000
PPAR signaling pathway	0	0	76	NaN%	NaN	0.000
Prader-Willi and Angelman Syndrome	0	0	90	NaN%	NaN	0.000
Pregnane X Receptor pathway	0	0	35	NaN%	NaN	0.000
Preimplantation Embryo	0	0	60	NaN%	NaN	0.000
Primary Focal Segmental Glomerulosclerosis FSGS	0	0	77	NaN%	NaN	0.000
Prion disease pathway	0	0	36	NaN%	NaN	0.000
Prolactin Signaling Pathway	0	0	79	NaN%	NaN	0.000
Proprotein convertase subtilisin/kexin type 9 (PCSK9) mediated LDL receptor degradation	0	0	3	NaN%	NaN	0.000
Proteasome Degradation	0	0	67	NaN%	NaN	0.000
Proteoglycan biosynthesis	0	0	36	NaN%	NaN	0.000
PTF1A related regulatory pathway	0	0	12	NaN%	NaN	0.000
RAC1/PAK1/p38/MMP2 Pathway	0	0	74	NaN%	NaN	0.000
RalA downstream regulated genes	0	0	13	NaN%	NaN	0.000
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	0	0	58	NaN%	NaN	0.000
Ras Signaling	0	0	192	NaN%	NaN	0.000
Regulation of Apoptosis by Parathyroid Hormone-related Protein	0	0	24	NaN%	NaN	0.000
Regulation of Microtubule Cytoskeleton	0	0	47	NaN%	NaN	0.000
Regulation of sister chromatid separation at the metaphase-anaphase transition	0	0	16	NaN%	NaN	0.000
Regulation of toll-like receptor signaling pathway	0	0	153	NaN%	NaN	0.000
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds	0	0	33	NaN%	NaN	0.000
Regulatory circuits of the STAT3 signaling pathway	0	0	79	NaN%	NaN	0.000
Renin Angiotensin Aldosterone System (RAAS)	0	0	57	NaN%	NaN	0.000
Resistin as a regulator of inflammation	0	0	34	NaN%	NaN	0.000
Retinoblastoma Gene in Cancer	0	0	98	NaN%	NaN	0.000
Rett syndrome causing genes	0	0	60	NaN%	NaN	0.000
Robo4 and VEGF Signaling Pathways Crosstalk	0	0	7	NaN%	NaN	0.000
Role of Altered Glycolysation of MUC1 in Tumour Microenvironment	0	0	10	NaN%	NaN	0.000
Role of Osx and miRNAs in tooth development	0	0	39	NaN%	NaN	0.000
SCFA and skeletal muscle substrate metabolism	0	0	17	NaN%	NaN	0.000
Selective expression of chemokine receptors during T-cell polarization	0	0	30	NaN%	NaN	0.000
Selenium Micronutrient Network	0	0	198	NaN%	NaN	0.000
Senescence and Autophagy in Cancer	0	0	112	NaN%	NaN	0.000
Serotonin and anxiety-related events	0	0	16	NaN%	NaN	0.000
Serotonin and anxiety	0	0	22	NaN%	NaN	0.000
Serotonin Receptor 2 and ELK-SRF/GATA4 signaling	0	0	24	NaN%	NaN	0.000
Serotonin Receptor 2 and STAT3 Signaling	0	0	6	NaN%	NaN	0.000
Serotonin Receptor 4/6/7 and NR3C Signaling	0	0	22	NaN%	NaN	0.000
Serotonin Transporter Activity	0	0	15	NaN%	NaN	0.000
Signaling of Hepatocyte Growth Factor Receptor	0	0	35	NaN%	NaN	0.000
Signaling Pathways in Glioblastoma	0	0	88	NaN%	NaN	0.000
Signal Transduction of S1P Receptor	0	0	26	NaN%	NaN	0.000
Signal transduction through IL1R	0	0	34	NaN%	NaN	0.000
Simplified Depiction of MYD88 Distinct Input-Output Pathway	0	0	20	NaN%	NaN	0.000
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway	0	0	19	NaN%	NaN	0.000
Small cell lung cancer	0	0	104	NaN%	NaN	0.000
Small Ligand GPCRs	0	0	25	NaN%	NaN	0.000
Somatroph axis (GH) and its relationship to dietary restriction and aging	0	0	12	NaN%	NaN	0.000
Somitogenesis in the context of spondylocostal dysostosis	0	0	10	NaN%	NaN	0.000
Spinal Cord Injury	0	0	127	NaN%	NaN	0.000
Splicing factor NOVA regulated synaptic proteins	0	0	44	NaN%	NaN	0.000
SREBF and miR33 in cholesterol and lipid homeostasis	0	0	19	NaN%	NaN	0.000
SRF and miRs in Smooth Muscle Differentiation and Proliferation	0	0	18	NaN%	NaN	0.000
Steroid Biosynthesis	0	0	25	NaN%	NaN	0.000
Sterol Regulatory Element-Binding Proteins (SREBP) signalling	0	0	77	NaN%	NaN	0.000
Striated Muscle Contraction Pathway	0	0	39	NaN%	NaN	0.000
Structural Pathway of Interleukin 1 (IL-1)	0	0	52	NaN%	NaN	0.000
Sulfation Biotransformation Reaction	0	0	29	NaN%	NaN	0.000
Sulindac Metabolic Pathway	0	0	11	NaN%	NaN	0.000
Supression of HMGB1 mediated inflammation by THBD	0	0	10	NaN%	NaN	0.000
Synaptic signaling pathways associated with autism spectrum disorder	0	0	55	NaN%	NaN	0.000
Synaptic Vesicle Pathway	0	0	59	NaN%	NaN	0.000
Synthesis and Degradation of Ketone Bodies	0	0	13	NaN%	NaN	0.000
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection	0	0	70	NaN%	NaN	0.000
T-Cell antigen Receptor (TCR)  Signaling Pathway	0	0	93	NaN%	NaN	0.000
T-Cell Receptor and Co-stimulatory Signaling	0	0	45	NaN%	NaN	0.000
Tamoxifen metabolism	0	0	36	NaN%	NaN	0.000
Target Of Rapamycin (TOR) Signaling	0	0	40	NaN%	NaN	0.000
TCA Cycle (aka Krebs or citric acid cycle)	0	0	49	NaN%	NaN	0.000
TFs Regulate miRNAs related to cardiac hypertrophy	0	0	16	NaN%	NaN	0.000
TGF-beta Receptor Signaling	0	0	56	NaN%	NaN	0.000
TGF-beta Signaling Pathway	0	0	133	NaN%	NaN	0.000
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition	0	0	20	NaN%	NaN	0.000
Tgif disruption of Shh signaling	0	0	11	NaN%	NaN	0.000
The alternative pathway of fetal androgen synthesis	0	0	48	NaN%	NaN	0.000
The effect of progerin on the involved genes in Hutchinson-Gilford Progeria Syndrome	0	0	30	NaN%	NaN	0.000
The human immune response to tuberculosis	0	0	24	NaN%	NaN	0.000
Thiamine metabolic pathways	0	0	34	NaN%	NaN	0.000
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway	0	0	49	NaN%	NaN	0.000
Thyroid hormones production and their peripheral downstream signalling effects regarding congenital hypothyroidism	0	0	134	NaN%	NaN	0.000
TLR4 Signaling and Tolerance	0	0	30	NaN%	NaN	0.000
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway	0	0	45	NaN%	NaN	0.000
Toll-like Receptor Signaling Pathway	0	0	117	NaN%	NaN	0.000
Toll-like Receptor Signaling related to MyD88	0	0	32	NaN%	NaN	0.000
TP53 Network	0	0	23	NaN%	NaN	0.000
Transcriptional cascade regulating adipogenesis	0	0	14	NaN%	NaN	0.000
Transcription co-factors SKI and SKIL protein partners	0	0	19	NaN%	NaN	0.000
Transcription factor regulation in adipogenesis	0	0	24	NaN%	NaN	0.000
Translation Factors	0	0	51	NaN%	NaN	0.000
Translation inhibitors in chronically activated PDGFRA cells	0	0	49	NaN%	NaN	0.000
Triacylglyceride Synthesis	0	0	37	NaN%	NaN	0.000
Tumor suppressor activity of SMARCB1	0	0	35	NaN%	NaN	0.000
Type 2 papillary renal cell carcinoma	0	0	41	NaN%	NaN	0.000
Type III interferon signaling	0	0	11	NaN%	NaN	0.000
Type II interferon signaling (IFNG)	0	0	38	NaN%	NaN	0.000
Type I collagen synthesis in the context of Osteogenesis imperfecta	0	0	35	NaN%	NaN	0.000
Type I Interferon Induction and Signaling During SARS-CoV-2 Infection	0	0	34	NaN%	NaN	0.000
TYROBP Causal Network	0	0	61	NaN%	NaN	0.000
Tyrosine Metabolism	0	0	27	NaN%	NaN	0.000
Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer	0	0	6	NaN%	NaN	0.000
Valproic acid pathway	0	0	36	NaN%	NaN	0.000
VEGFA-VEGFR2 Signaling Pathway	0	0	436	NaN%	NaN	0.000
Viral Acute Myocarditis	0	0	109	NaN%	NaN	0.000
Vitamin A and Carotenoid Metabolism	0	0	65	NaN%	NaN	0.000
Vitamin B12 Disorders	0	0	35	NaN%	NaN	0.000
Vitamin B12 Metabolism	0	0	118	NaN%	NaN	0.000
Vitamin D in inflammatory diseases	0	0	25	NaN%	NaN	0.000
Vitamin D Metabolism	0	0	22	NaN%	NaN	0.000
Vitamin D Receptor Pathway	0	0	188	NaN%	NaN	0.000
White fat cell differentiation	0	0	35	NaN%	NaN	0.000
Wnt/beta-catenin Signaling Pathway in Leukemia	0	0	29	NaN%	NaN	0.000
Wnt Signaling in Kidney Disease	0	0	39	NaN%	NaN	0.000
Wnt Signaling Pathway (Netpath)	0	0	52	NaN%	NaN	0.000
Wnt Signaling Pathway and Pluripotency	0	0	106	NaN%	NaN	0.000
Wnt Signaling	0	0	121	NaN%	NaN	0.000
Zinc homeostasis	0	0	39	NaN%	NaN	0.000
